Index  Type    Byte_counts     Address                Data                                                         Checksum 
0       S0       0xF            0x0000              0x50776D5F54535F5630310000                                       0xA0
1       S3       0x21           0x1FFE0ED0          0x00000000000000000000000000000000000000000000000000000000       0xE3
2       S3       0x21           0x1FFE0EEC          0x00000000000000000000000000000000000000000000000000000000       0xC7
3       Line length does not match byte count: 31. Ivalid check sum. 
4       Ivalid check sum. 
5       S3       0x21           0x1FFE0F40          0x00000000000000000000000000000000000000000000000000000000       0x72
6       Line length does not match byte count: 31. Ivalid check sum. 
7       S3       0x21           0x1FFE0F78          0x00000000000000000000000000000000000000000000000000000000       0x3A
8       S3       0x21           0x1FFE0F94          0x00000000000000000000000000000000000000000000000000000000       0x1E
9       S3       0x21           0x1FFE0FB0          0x00000000000000000000000000000000000000000000000000000000       0x02
10      S3       0x21           0x1FFE0FCC          0x00000000000000000000000000000000000000000000000000000000       0xE6
11      Ivalid check sum. 
12      S3       0x21           0x1FFE1004          0x00000000000000000000000000000000000000000000000000000000       0xAD
13      S3       0x21           0x1FFE1020          0x00000000000000000000000000000000000000000000000000000000       0x91
14      Invalid hex character at position 6: K. Ivalid check sum. 
15      S3       0x21           0x1FFE1058          0x00000000000000000000000000000000000000000000000000000000       0x59
16      S3       0x21           0x1FFE1074          0x00000000000000000000000000000000000000000000000000000000       0x3D
17      S3       0x21           0x1FFE1090          0x00000000000000000000000000000000000000000000000000000000       0x21
18      S3       0x21           0x1FFE10AC          0x00000000000000000000000000000000000000000000000000000000       0x05
19      S3       0x21           0x1FFE10C8          0x00000000000000000000000000000000000000000000000000000000       0xE9
20      S3       0x21           0x1FFE10E4          0x00000000000000000000000000000000000000000000000000000000       0xCD
21      S3       0x21           0x1FFE1100          0x00000000000000000000000000000000000000000000000000000000       0xB0
22      S3       0x21           0x1FFE111C          0x00000000000000000000000000000000000000000000000000000000       0x94
23      S3       0x21           0x1FFE1138          0x00000000000000000000000000000000000000000000000000000000       0x78
24      S3       0x21           0x1FFE1154          0x00000000000000000000000000000000000000000000000000000000       0x5C
25      S3       0x21           0x1FFE1170          0x00000000000000000000000000000000000000000000000000000000       0x40
26      S3       0x21           0x1FFE118C          0x00000000000000000000000000000000000000000000000000000000       0x24
27      S3       0x21           0x1FFE11A8          0x00000000000000000000000000000000000000000000000000000000       0x08
28      S3       0x21           0x1FFE11C4          0x00000000000000000000000000000000000000000000000000000000       0xEC
29      S3       0x21           0x1FFE11E0          0x00000000000000000000000000000000000000000000000000000000       0xD0
30      S3       0x21           0x1FFE11FC          0x00000000000000000000000000000000000000000000000000000000       0xB4
31      S3       0x21           0x1FFE1218          0x00000000000000000000000000000000000000000000000000000000       0x97
32      S3       0x21           0x1FFE1234          0x00000000000000000000000000000000000000000000000000000000       0x7B
33      S3       0x21           0x1FFE1250          0x00000000000000000000000000000000000000000000000000000000       0x5F
34      S3       0x21           0x1FFE126C          0x00000000000000000000000000000000000000000000000000000000       0x43
35      S3       0x21           0x1FFE1288          0x00000000000000000000000000000000000000000000000000000000       0x27
36      S3       0x21           0x1FFE12A4          0x00000000000000000000000000000000000000000000000000000000       0x0B
